recalling_firm_normalized,recall_count,unique_event_count,class_i_count,class_i_pct,first_report_date,latest_report_date,median_reporting_lag_days,active_year_count
REVIVE RX LLC DBA REVIVE RX PHARMACY,3,3,2,66.67,2022-02-23,2024-06-05,20.0,3
RISING PHARMACEUTICALS,3,3,0,0.0,2021-10-13,2023-03-01,23.0,3
SHANE ERICKSON INC,3,1,0,0.0,2021-02-03,2021-02-03,42.0,1
SLATE RUN PHARMACEUTICALS,3,2,0,0.0,2025-03-26,2026-03-04,19.0,2
SPECIALTY PROCESS LABS LLC,3,2,0,0.0,2024-04-24,2026-01-28,54.0,2
TCP HRB ACQUISITON LLC,3,1,3,100.0,2024-01-03,2024-01-03,686.0,1
THEA PHARMA INC,3,2,0,0.0,2024-03-20,2026-05-06,13.0,2
TODAY THE WORLD,3,1,3,100.0,2024-02-28,2024-02-28,22.0,1
TOLMAR INC,3,3,0,0.0,2021-12-22,2023-10-04,30.0,3
UMMZY LLC,3,1,3,100.0,2021-07-28,2021-07-28,120.0,1
VALOR COMPOUNDING PHARMACY INC DBA VALOR COMPOUNDING PHARMACY,3,2,3,100.0,2022-06-15,2022-08-03,61.0,1
VIRGIN SCENT INC,3,1,1,33.33,2022-04-27,2022-04-27,183.0,1
WALMART INC,3,1,1,33.33,2022-06-22,2022-06-22,29.0,1
WISHGARDEN HERBS INCORPORATED,3,1,3,100.0,2021-01-06,2021-01-06,103.0,1
X GEN PHARMACEUTICALS INC,3,2,0,0.0,2021-04-14,2024-04-10,8.0,2
ABC SALES 1 INC,2,1,2,100.0,2022-02-23,2022-02-23,15.0,1
ACUITY SPECIALTY PRODUCTS INC,2,1,0,0.0,2025-10-15,2025-10-15,16.0,1
ADAM S POLISHES LLC,2,1,1,50.0,2022-11-23,2022-11-23,18.0,1
ADAMIS PHARMACEUTICALS CORPORATION,2,1,2,100.0,2022-04-13,2022-04-13,23.0,1
ADAMS SECRET CO,2,1,2,100.0,2021-03-31,2021-03-31,44.0,1
ADVANCED PHARMACEUTICAL TECHNOLOGY INC,2,2,0,0.0,2025-07-02,2026-01-21,71.5,2
AGEBOX,2,1,0,0.0,2026-03-04,2026-03-04,127.0,1
AJANTA PHARMA USA INC,2,2,0,0.0,2026-06-24,2026-07-01,31.0,1
ALCHEMEE LLC,2,1,0,0.0,2025-04-16,2025-04-16,35.0,1
ALPHA AROMATICS,2,2,0,0.0,2023-05-31,2024-02-28,24.5,2
ANAZAOHEALTH CORPORATION,2,1,0,0.0,2024-01-03,2024-01-03,42.0,1
ANNORA PHARMA PRIVATE LIMITED,2,2,0,0.0,2026-03-25,2026-07-01,38.5,1
API SOLUTIONS INC,2,1,0,0.0,2021-08-04,2021-08-04,20.0,1
APIPHARMA,2,1,0,0.0,2025-04-30,2025-04-30,21.0,1
APOLLO CARE,2,2,0,0.0,2021-12-15,2023-04-05,52.0,2
APOTHECUS PHARMACEUTICAL CORP,2,2,0,0.0,2024-04-03,2024-12-25,23.0,1
ARUBA ALOE BALM N V,2,1,2,100.0,2024-05-01,2024-05-01,39.0,1
ASTELLAS PHARMA US INC,2,1,2,100.0,2025-02-05,2025-02-05,44.0,1
AVKARE INC,2,2,0,0.0,2021-06-23,2022-08-17,21.0,2
BE PHARMACEUTICALS AG,2,2,0,0.0,2023-09-20,2024-01-31,18.0,2
BEST BRANDS CONSUMER PRODUCTS INC,2,1,2,100.0,2022-05-11,2022-05-11,43.0,1
BIOCON PHARMA INC,2,2,0,0.0,2023-02-15,2025-04-09,19.0,2
BRANDS INTERNATIONAL CORPORATION,2,2,0,0.0,2024-07-24,2025-01-29,60.5,2
CALVIN SCOTT COMPANY INC,2,1,1,50.0,2022-06-01,2022-06-01,502.0,1
CAMBER PHARMACEUTICALS INC,2,2,1,50.0,2022-12-21,2023-05-17,40.0,2
CASCADE KELLY HOLDINGS LLC,2,1,0,0.0,2021-08-11,2021-08-11,42.0,1
CENTRAL ADMIXTURE PHARMACY SERVICES INC CAPS LOS ANGELES,2,2,0,0.0,2025-07-23,2026-05-13,79.5,2
CHARLES PAINT RESEARCH INC,2,1,0,0.0,2021-09-15,2021-09-15,378.0,1
CHATTEM INC,2,2,0,0.0,2025-03-19,2025-04-23,21.5,1
CHIESI USA INC,2,2,0,0.0,2026-04-01,2026-07-22,15.5,1
CONSOLIDATED CHEMICAL INC,2,1,0,0.0,2023-02-22,2023-02-22,43.0,1
DEN MAT HOLDINGS LLC,2,1,0,0.0,2024-02-07,2024-02-07,22.0,1
DOLLAR TREE DISTRIBUTION INC,2,2,0,0.0,2022-03-09,2023-10-25,19.5,2
ELEVATE ORAL CARE,2,2,0,0.0,2024-09-18,2026-07-01,28.0,2
EMPOWER CLINIC SERVICES LLC DBA EMPOWER PHARMACY,2,2,0,0.0,2023-06-14,2025-05-21,26.0,2
ENDO PHARMACEUTICALS INC,2,2,1,50.0,2023-04-05,2024-08-07,31.0,2
ESPERION,2,2,0,0.0,2023-09-13,2024-04-24,28.0,2
FISHER SCIENTIFIC CO LLC,2,1,0,0.0,2023-01-25,2023-01-25,8.0,1
FRUIT OF THE EARTH INC,2,1,0,0.0,2025-03-26,2025-03-26,15.0,1
GAZA PROVEEDORA DE SERVICIOS DE HOSPEDAJE Y ALIMENTACION,2,1,0,0.0,2021-01-20,2021-01-20,50.0,1
GE HEALTHCARE IRELAND LIMITED,2,1,0,0.0,2026-04-15,2026-04-15,22.0,1
GILEAD SCIENCES INC,2,2,2,100.0,2022-01-05,2024-10-09,26.5,2
GLOBAL CORPORATION,2,1,0,0.0,2024-03-20,2024-03-20,33.0,1
GRACE FIRE PTY LTD,2,1,0,0.0,2025-09-17,2025-09-17,26.0,1
GRAVITI PHARMACEUTICALS PRIVATE LIMITED,2,2,0,0.0,2025-10-29,2026-01-28,31.0,2
GRUPO ASIMEX DE MEXICO SA DE CV,2,1,1,50.0,2021-09-22,2021-09-22,404.0,1
HARBIN JIXIANGLONG BIOTECH CO LTD,2,1,0,0.0,2026-03-11,2026-03-11,26.0,1
HTO NEVADA INC,2,1,0,0.0,2023-02-22,2023-02-22,13.0,1
HUMANRACE,2,1,0,0.0,2023-09-27,2023-09-27,40.0,1
INGENUS PHARMACEUTICALS LLC,2,2,0,0.0,2022-01-26,2022-10-26,21.0,1
INNOVEIX PHARMACEUTICALS INC,2,1,0,0.0,2021-07-28,2021-07-28,19.0,1
INSIGHT PHARMACEUTICALS LLC A PRESTIGE CONSUMER HEALTHCARE COMPANY,2,2,2,100.0,2024-01-24,2024-02-28,30.5,1
INTEGRITY PRODUCTS,2,1,2,100.0,2024-07-10,2024-07-10,160.0,1
JUSTIFIED LABORATORIES,2,1,0,0.0,2022-10-19,2022-10-19,40.0,1
KINDER FARMS LLC,2,1,0,0.0,2023-12-13,2023-12-13,30.0,1
KRAMER LABORATORIES INC,2,1,0,0.0,2023-08-02,2023-08-02,40.0,1
LEADING PHARMA LLC,2,2,0,0.0,2022-10-05,2026-04-29,41.5,2
MALLINCKRODT HOSPITAL PRODUCTS INC,2,1,0,0.0,2024-02-28,2024-02-28,22.0,1
MARLEX PHARMACEUTICALS INC,2,1,1,50.0,2023-09-13,2023-09-13,19.0,1
MAYNE PHARMA INC,2,2,0,0.0,2022-01-26,2022-06-29,16.0,1
MCGUFF COMPOUNDING PHARMACY SERVICES INC,2,1,0,0.0,2023-02-22,2023-02-22,76.0,1
MEDINATURA NEW MEXICO INC,2,1,2,100.0,2026-01-14,2026-01-14,33.0,1
MEDISCA INC,2,2,0,0.0,2024-07-10,2025-04-30,22.0,2
MEDLINE INDUSTRIES INC,2,2,0,0.0,2021-06-16,2021-12-29,42.0,1
MEDLINE INDUSTRIES LP,2,2,0,0.0,2025-10-01,2025-10-29,36.5,1
MERCK SHARP DOHME CORP,2,2,1,50.0,2021-11-10,2022-04-13,17.5,2
MERCK SHARP DOHME LLC,2,1,0,0.0,2025-12-31,2025-12-31,19.0,1
MICRO LABS LIMITED,2,2,0,0.0,2024-02-28,2024-03-20,28.0,1
MYLAN INSTITUTIONAL INC D B A UDL LABORATORIES,2,1,0,0.0,2022-05-18,2022-05-18,47.0,1
NA NA COLLECTION,2,1,0,0.0,2021-05-05,2021-05-05,36.0,1
NATCO PHARMA LIMITED,2,2,0,0.0,2024-02-14,2024-04-17,17.0,1
NCS HEALTHCARE OF KENTUCKY INC,2,1,0,0.0,2023-11-29,2023-11-29,33.0,1
NEOGEN CORPORATION,2,1,0,0.0,2024-12-04,2024-12-04,57.0,1
NEW VISION PHARMACEUTICALS LLC,2,1,0,0.0,2021-10-06,2021-10-06,34.0,1
NEW VITALIS PHARMACY LLC DBA NEW VITALIS PHARMACY,2,2,0,0.0,2021-10-06,2023-08-02,17.0,2
NOVITIUM PHARMA LLC,2,2,0,0.0,2024-03-27,2024-04-24,26.5,1
NSNY DISTRIBUTOR INC,2,1,2,100.0,2021-07-07,2021-07-07,90.0,1
OMEZA LLC,2,1,0,0.0,2024-02-14,2024-02-14,26.0,1
ORIENT PHARMA CO LTD YUNLIN PLANT,2,1,0,0.0,2025-07-09,2025-07-09,28.0,1
PACIRA PHARMACEUTICALS INC,2,2,0,0.0,2024-06-19,2024-07-03,32.0,1
PARK AVENUE COMPOUNDING,2,2,0,0.0,2025-11-26,2025-12-10,74.0,1
PFIZER,2,2,1,50.0,2024-01-31,2025-08-20,31.5,2
PHARMEDICA USA LLC,2,1,1,50.0,2023-03-15,2023-03-15,29.0,1
PRO NUMB TATTOO NUMBING SPRAY LLC,2,1,0,0.0,2026-02-18,2026-02-18,16.0,1
PROVEPHARM INC,2,2,1,50.0,2024-12-25,2025-02-26,34.5,2
RADNOSTIX,2,2,0,0.0,2026-03-11,2026-04-01,42.5,1
REGENERATIVE PROCESSING PLANT LLC,2,1,0,0.0,2024-12-25,2024-12-25,15.0,1
REGENERON PHARMACEUTICALS INC,2,2,0,0.0,2024-05-08,2024-06-05,18.0,1
REVIVE PERSONAL PRODUCTS COMPANY,2,2,0,0.0,2022-01-19,2022-04-13,68.0,1
SALON TECHNOLOGIES INTERNATIONAL INC,2,1,1,50.0,2022-10-12,2022-10-12,28.0,1
SIGNATURE FORMULATIONS LLC,2,1,0,0.0,2026-01-14,2026-01-14,37.0,1
SKY PACKAGING,2,1,0,0.0,2025-02-12,2025-02-12,19.0,1
SPECGX LLC,2,1,0,0.0,2026-01-14,2026-01-14,29.0,1
SPECTRUM LABORATORY PRODUCTS INC,2,1,2,100.0,2023-02-01,2023-02-01,44.0,1
SUPERCORE PRODUCTS GROUP INC,2,1,2,100.0,2024-10-09,2024-10-09,89.0,1
SYNCHRONICITY SPA INC DBA SUNTE,2,1,1,50.0,2024-07-17,2024-07-17,54.0,1
TENNESSEE TECHNICAL COATINGS CORP,2,1,1,50.0,2022-03-30,2022-03-30,27.0,1
THE RITEDOSE CORPORATION,2,2,0,0.0,2022-04-13,2023-08-09,15.5,2
TMC ACQUISITIONS LLC DBA TAILOR MADE COMPOUNDING,2,1,0,0.0,2023-08-30,2023-08-30,15.0,1
ULTRA CHEM LABS CORP,2,1,0,0.0,2022-11-02,2022-11-02,79.0,1
UMARY USA COM,2,1,2,100.0,2025-06-25,2025-06-25,35.0,1
UNILEVER UNITED STATES INC,2,1,1,50.0,2022-05-04,2022-05-04,35.0,1
URBAN ELECTRIC POWER,2,1,0,0.0,2023-02-15,2023-02-15,29.0,1
US COMPOUNDING INC,2,2,0,0.0,2021-01-06,2021-01-20,38.5,1
US SPECIALTY FORMULATIONS LLC,2,1,0,0.0,2022-06-15,2022-06-15,22.0,1
VALGENE INCORPORATED DBA CAPE DRUGS,2,1,0,0.0,2021-12-22,2021-12-22,19.0,1
VI JON INC,2,2,0,0.0,2021-09-22,2022-03-09,10.0,2
VIATRIS,2,2,0,0.0,2021-09-22,2021-10-06,26.5,1
VISTAPHARM INC,2,2,0,0.0,2022-01-26,2022-11-02,26.0,1
WEST WARD COLUMBUS INC,2,2,0,0.0,2023-11-01,2025-01-15,33.5,2
WESTMINSTER PHARMACEUTICALS LLC,2,1,0,0.0,2025-08-20,2025-08-20,14.0,1
WILSHIRE PHARMACEUTICALS INC,2,1,0,0.0,2021-02-24,2021-02-24,20.0,1
WINDER LABORATORIES LLC,2,2,0,0.0,2024-06-19,2025-12-17,21.5,2
XELLIA PHARMACEUTICALS USA LLC,2,1,0,0.0,2021-09-01,2021-09-01,26.0,1
ZECO LLC,2,1,0,0.0,2024-08-28,2024-08-28,23.0,1
123HERBALS,1,1,1,100.0,2024-10-16,2024-10-16,28.0,1
A P NONWEILER,1,1,0,0.0,2022-06-22,2022-06-22,42.0,1
AADI BIOSCIENCE,1,1,0,0.0,2022-11-23,2022-11-23,41.0,1
ACCORD BIOPHARMA INC,1,1,0,0.0,2026-07-08,2026-07-08,28.0,1
ACCUPAC INC,1,1,0,0.0,2021-06-02,2021-06-02,20.0,1
ADVANTICE HEALTH LLC,1,1,0,0.0,2023-03-01,2023-03-01,27.0,1
AERO HEALTHCARE,1,1,0,0.0,2025-11-12,2025-11-12,26.0,1
AKCEA THERAPEUTICS INC,1,1,1,100.0,2022-07-06,2022-07-06,44.0,1
AKEBIA THERAPEUTICS DBA KERYX BIOPHARMACEUTIALS INC,1,1,0,0.0,2021-02-24,2021-02-24,26.0,1
ALLERGAN PLC,1,1,0,0.0,2021-01-27,2021-01-27,28.0,1
ALMIRALL LLC,1,1,0,0.0,2022-10-05,2022-10-05,19.0,1
ALPHA TEK LLC,1,1,1,100.0,2021-10-13,2021-10-13,89.0,1
AMERICAN SCREENING LLC,1,1,1,100.0,2021-12-15,2021-12-15,26.0,1
AMIVAS US LLC,1,1,0,0.0,2021-10-13,2021-10-13,16.0,1
AMRING PHARMACEUTICALS INC,1,1,0,0.0,2023-06-21,2023-06-21,9.0,1
ANHUI WELCOME FOREIGN TRADE CO LTD,1,1,0,0.0,2021-09-01,2021-09-01,20.0,1
ANTHONY TRINH 123HERBALS LLC,1,1,1,100.0,2026-03-11,2026-03-11,142.0,1
ANTOTO K,1,1,0,0.0,2021-05-12,2021-05-12,47.0,1
APG SEVEN INC,1,1,1,100.0,2023-09-06,2023-09-06,34.0,1
APTAPHARMA INC,1,1,0,0.0,2022-05-04,2022-05-04,36.0,1
ARDIL COMERCIAL S R L,1,1,1,100.0,2021-07-21,2021-07-21,29.0,1
AREVA PHARMACEUTICALS INC,1,1,0,0.0,2021-03-03,2021-03-03,104.0,1
AROMA RELEASE TECHNOLOGIES INC,1,1,1,100.0,2022-01-05,2022-01-05,36.0,1
ASCENT PHARMACEUTICALS INC,1,1,0,0.0,2021-12-15,2021-12-15,26.0,1
ASCLEMED USA INC DBA ENOVACHEM PHARMACEUTICALS,1,1,0,0.0,2021-04-21,2021-04-21,33.0,1
ASEGUA THERAPEUTICS LLC,1,1,0,0.0,2025-04-16,2025-04-16,40.0,1
ASPIRO PHARMA LIMITED,1,1,0,0.0,2025-10-29,2025-10-29,28.0,1
ASTRAZENECA PHARMACEUTICALS,1,1,0,0.0,2025-10-22,2025-10-22,14.0,1
ASTTRAZENECA PHARMACEUTICALS LP,1,1,0,0.0,2025-05-28,2025-05-28,14.0,1
AVANTOR PERFORMANCE MATERIALS LLC,1,1,0,0.0,2026-04-22,2026-04-22,22.0,1
AVRIO HEALTH L P,1,1,0,0.0,2021-09-29,2021-09-29,34.0,1
BEEKEEPER S NATURALS USA INC,1,1,1,100.0,2026-06-17,2026-06-17,16.0,1
BIOCOMPATIBLES UK LTD,1,1,0,0.0,2024-12-18,2024-12-18,125.0,1
BIOMED LABORATORIES LLC,1,1,0,0.0,2026-07-15,2026-07-15,34.0,1
BIONPHARMA INC,1,1,1,100.0,2024-10-23,2024-10-23,36.0,1
BIT BET LLC,1,1,0,0.0,2021-05-26,2021-05-26,63.0,1
BLI INTERNATIONAL INC,1,1,0,0.0,2024-11-06,2024-11-06,16.0,1
BLISTEX INC,1,1,1,100.0,2023-12-27,2023-12-27,770.0,1
BRISTOL MYERS SQUIBB COMPANY,1,1,0,0.0,2025-10-29,2025-10-29,8.0,1
BUY HERBAL,1,1,1,100.0,2025-01-15,2025-01-15,34.0,1
BUZZAGOGO LLC,1,1,1,100.0,2022-07-06,2022-07-06,28.0,1
C A NATURISTICS,1,1,0,0.0,2024-10-30,2024-10-30,22.0,1
CAPLIN STERILES LIMITED,1,1,0,0.0,2023-09-13,2023-09-13,30.0,1
CARDINAL HEALTH 200 LLC,1,1,1,100.0,2026-03-25,2026-03-25,23.0,1
CELEBRATE TODAY,1,1,1,100.0,2022-02-23,2022-02-23,15.0,1
CHURCH DWIGHT CO INC,1,1,0,0.0,2025-10-29,2025-10-29,28.0,1
CIPLA LIMITED,1,1,0,0.0,2025-12-10,2025-12-10,40.0,1
COAST QUALITY PHARMACY LLC DBA ANAZAO HEALTH,1,1,0,0.0,2024-07-03,2024-07-03,70.0,1
COLGATE PALMOLIVE COMPANY,1,1,0,0.0,2023-08-23,2023-08-23,13.0,1
CONTRACT PHARMACAL CORPORATION,1,1,0,0.0,2024-07-03,2024-07-03,44.0,1
COOPERSURGICAL INC,1,1,1,100.0,2022-02-23,2022-02-23,19.0,1
COSETTE PHARMACEUTICALS INC,1,1,0,0.0,2021-04-14,2021-04-14,20.0,1
CURIUM US LLC,1,1,0,0.0,2025-01-01,2025-01-01,36.0,1
CUSTOPHARM INC,1,1,0,0.0,2021-09-01,2021-09-01,33.0,1
DASH PHARMACEUTICALS LLC,1,1,0,0.0,2022-04-13,2022-04-13,33.0,1
DASH XCLUSIVE,1,1,0,0.0,2021-06-23,2021-06-23,43.0,1
DERCHER ENTERPRISES INC DBA GORDON LABORATORIES,1,1,0,0.0,2024-05-22,2024-05-22,40.0,1
DISCOVERY PHARMA LLC,1,1,0,0.0,2023-02-08,2023-02-08,91.0,1
DISTRIBUTOR RFR LLC,1,1,1,100.0,2022-08-10,2022-08-10,19.0,1
DLC LABORATORIES INC,1,1,0,0.0,2021-02-24,2021-02-24,49.0,1
DR REDDY S LABORATORIES LIMITED,1,1,0,0.0,2023-07-26,2023-07-26,35.0,1
EBAY SELLER JOHN NGUYEN,1,1,1,100.0,2021-09-22,2021-09-22,42.0,1
EDENBRIDGE PHARMACEUTICALS LLC,1,1,0,0.0,2023-11-08,2023-11-08,19.0,1
EDGEWELL PERSONAL CARE BRANDS LLC,1,1,1,100.0,2022-09-21,2022-09-21,54.0,1
EMPOWER CLINIC SERVICES LLC,1,1,0,0.0,2024-08-14,2024-08-14,12.0,1
EMPOWER PHARMACY,1,1,0,0.0,2024-10-02,2024-10-02,27.0,1
ENCON SAFETY PRODUCTS CO,1,1,0,0.0,2026-01-21,2026-01-21,15.0,1
ENSHISHIXIANGNISHANGMAOYOUXIANGONGSI,1,1,1,100.0,2025-06-04,2025-06-04,29.0,1
ENVIROSERVE CHEMICALS INC,1,1,0,0.0,2024-10-02,2024-10-02,14.0,1
EQUIBAL INC,1,1,0,0.0,2024-07-17,2024-07-17,21.0,1
ESUPPLEMENTSALES LLC,1,1,1,100.0,2022-02-16,2022-02-16,19.0,1
EVARIC PHARMACEUTICALS INC,1,1,0,0.0,2024-11-27,2024-11-27,12.0,1
FA ONLINE INC,1,1,1,100.0,2024-05-01,2024-05-01,79.0,1
FAMILY MEDICAL SUPPLY INC,1,1,0,0.0,2023-11-22,2023-11-22,13.0,1
FIRST AID BEAUTY LTD,1,1,0,0.0,2025-01-29,2025-01-29,37.0,1
FOCUS HEALTH GROUP INC,1,1,0,0.0,2023-04-19,2023-04-19,34.0,1
FRESENIUS MEDICAL CARE NORTH AMERICA,1,1,0,0.0,2021-05-26,2021-05-26,42.0,1
GENERITECH CORPORATION,1,1,0,0.0,2024-12-11,2024-12-11,19.0,1
GENUS LIFESCIENCES INC,1,1,0,0.0,2021-01-20,2021-01-20,28.0,1
GLENMARK THERAPEUTICS INC,1,1,0,0.0,2023-07-26,2023-07-26,86.0,1
GNMART LLC,1,1,1,100.0,2025-01-08,2025-01-08,27.0,1
GRACE HEALTHCARE MEDICAL INC,1,1,0,0.0,2021-05-05,2021-05-05,20.0,1
GRANULES CONSUMER HEALTH INC,1,1,0,0.0,2024-08-14,2024-08-14,27.0,1
GRANULES USA INC,1,1,0,0.0,2021-09-08,2021-09-08,28.0,1
GREEN LUMBER HOLDINGS LLC,1,1,1,100.0,2026-02-11,2026-02-11,167.0,1
GREEN PHARMACEUTICALS INC,1,1,1,100.0,2022-07-06,2022-07-06,27.0,1
GREENSTONE LLC,1,1,0,0.0,2026-02-04,2026-02-04,20.0,1
GURU INC,1,1,0,0.0,2024-10-02,2024-10-02,98.0,1
HAND SANITIZER LLC,1,1,0,0.0,2022-06-22,2022-06-22,79.0,1
HANDELNINE GLOBAL LLC,1,1,1,100.0,2026-02-11,2026-02-11,51.0,1
HARROW EYE LLC,1,1,0,0.0,2026-04-29,2026-04-29,12.0,1
HENRY SCHEIN INC AND GLOVE CLUB HSI GLOVES INC,1,1,0,0.0,2024-02-28,2024-02-28,42.0,1
HERON THERAPEUTICS INC,1,1,0,0.0,2022-08-24,2022-08-24,22.0,1
HETERO LABS LIMITED UNIT V,1,1,0,0.0,2026-04-29,2026-04-29,34.0,1
HETERO USA INC,1,1,0,0.0,2023-04-19,2023-04-19,36.0,1
HF ACQUISITION CO LLC,1,1,0,0.0,2023-06-14,2023-06-14,8.0,1
HIGH PERFORMANCE FORMULAS L L C HPF L L C,1,1,0,0.0,2021-08-25,2021-08-25,30.0,1
HILL DERMACEUTICALS INC,1,1,0,0.0,2021-06-30,2021-06-30,40.0,1
HIS ENTERPRISE INC,1,1,0,0.0,2021-09-01,2021-09-01,43.0,1
HONEYWELL INC,1,1,0,0.0,2024-05-01,2024-05-01,33.0,1
HOYU US LOGISTICS INC,1,1,0,0.0,2021-07-07,2021-07-07,15.0,1
HUA DA TRADING INC DBA WEFUN INC,1,1,1,100.0,2023-09-20,2023-09-20,26.0,1
IBSPOT,1,1,0,0.0,2025-10-29,2025-10-29,20.0,1
IDEAL SPECIALTY APOTHECARY INC DBA IDEAL PHARMACY,1,1,0,0.0,2022-02-09,2022-02-09,50.0,1
IMMUNOCORE LLC,1,1,0,0.0,2025-09-10,2025-09-10,92.0,1
IMPRIMISRX NJ,1,1,0,0.0,2022-11-23,2022-11-23,14.0,1
INMAR SUPPLY CHAIN SOLUTIONS LLC,1,1,0,0.0,2023-08-30,2023-08-30,16.0,1
INSIGHT PHARMACEUTICALS CORPORATION,1,1,1,100.0,2023-12-27,2023-12-27,35.0,1
INTERNATIONAL MEDICATION SYSTEMS LTD,1,1,0,0.0,2026-04-22,2026-04-22,21.0,1
INTERSECT ENT INC,1,1,0,0.0,2023-01-25,2023-01-25,21.0,1
INVAGEN PHARMACEUTICALS INC,1,1,1,100.0,2024-01-17,2024-01-17,61.0,1
INVENTIA HEALTHCARE LIMITED,1,1,0,0.0,2026-06-24,2026-06-24,19.0,1
ITF PHARMA INC,1,1,0,0.0,2023-11-29,2023-11-29,40.0,1
JACOBUS PHARMACEUTICAL COMPANY INC,1,1,1,100.0,2021-10-06,2021-10-06,27.0,1
JE DOIS LAVOIR LLC,1,1,1,100.0,2022-02-23,2022-02-23,205.0,1
JR WATKINS,1,1,0,0.0,2024-12-04,2024-12-04,33.0,1
JUBILANT DRAXIMAGE INC,1,1,0,0.0,2022-07-20,2022-07-20,34.0,1
JUBILANT DRAXIMAGE INC DBA JUBILANT RADIOPHARMA,1,1,0,0.0,2025-01-15,2025-01-15,54.0,1
JUNP HYDRATION LLC,1,1,1,100.0,2022-02-16,2022-02-16,12.0,1
KENVUE BRANDS LLC,1,1,0,0.0,2025-11-05,2025-11-05,15.0,1
KIMBERLY CLARK CORPORATION,1,1,0,0.0,2021-04-14,2021-04-14,72.0,1
KOWA PHARMACEUTICALS AMERICA,1,1,0,0.0,2025-03-19,2025-03-19,23.0,1
LATIN FOODS MARKET,1,1,1,100.0,2022-07-20,2022-07-20,40.0,1
LEADIANT BIOSCIENCES INC,1,1,0,0.0,2023-02-22,2023-02-22,19.0,1
LEGACY PHARMACEUTICAL PACKAGING LLC,1,1,0,0.0,2024-01-03,2024-01-03,23.0,1
LEO PHARMA INC,1,1,0,0.0,2026-03-04,2026-03-04,22.0,1
LETCO MEDICAL LLC,1,1,0,0.0,2025-11-05,2025-11-05,54.0,1
LOHXA LLC,1,1,1,100.0,2022-01-26,2022-01-26,36.0,1
LULA HOLDINGS L L C,1,1,0,0.0,2022-05-18,2022-05-18,43.0,1
LUNDBECK LLC,1,1,0,0.0,2023-09-06,2023-09-06,20.0,1
MAIN PRODUCTS INC,1,1,1,100.0,2024-08-14,2024-08-14,27.0,1
MCKESSON CORPORATION,1,1,0,0.0,2024-02-28,2024-02-28,16.0,1
MEDEK LLC,1,1,1,100.0,2022-08-24,2022-08-24,714.0,1
MEDICAL PRODUCTS LABORATORIES INC,1,1,0,0.0,2025-12-03,2025-12-03,21.0,1
MERCK CO INC,1,1,0,0.0,2025-08-20,2025-08-20,30.0,1
MERCK SHARP DOHME,1,1,0,0.0,2021-01-13,2021-01-13,23.0,1
META HERBAL,1,1,1,100.0,2024-01-03,2024-01-03,35.0,1
METHAPHARM INC,1,1,0,0.0,2023-05-03,2023-05-03,26.0,1
MEXHEALTH LLC,1,1,0,0.0,2024-06-26,2024-06-26,35.0,1
MOHAMED HAGAR,1,1,1,100.0,2026-03-11,2026-03-11,154.0,1
MXBBB,1,1,0,0.0,2025-01-01,2025-01-01,48.0,1
MYLAN INSTITUTIONAL LLC,1,1,0,0.0,2021-06-09,2021-06-09,37.0,1
NAMOO ENTERPRISE LLC,1,1,0,0.0,2021-05-05,2021-05-05,41.0,1
NANOMATERIALS DISCOVERY CORPORATION,1,1,1,100.0,2023-03-15,2023-03-15,29.0,1
NATIVE PROMOTIONS INC,1,1,0,0.0,2021-09-15,2021-09-15,65.0,1
NCH LIFE SCIENCES LLC,1,1,0,0.0,2023-01-04,2023-01-04,26.0,1
NDAL MFG INC,1,1,1,100.0,2021-03-03,2021-03-03,76.0,1
NEILMED PHARMACEUTICALS INC,1,1,0,0.0,2024-07-03,2024-07-03,9.0,1
NEPHRON SC LLC,1,1,0,0.0,2026-04-22,2026-04-22,36.0,1
NIVAGEN PHARMACEUTICALS INC,1,1,0,0.0,2024-10-09,2024-10-09,15.0,1
NOAH S WHOLESALE LLC,1,1,1,100.0,2023-12-27,2023-12-27,72.0,1
NOVADOZ PHARMACEUTICALS LLC,1,1,0,0.0,2026-02-04,2026-02-04,51.0,1
NOVARTIS PHARMACEUTICALS CORP,1,1,1,100.0,2023-09-27,2023-09-27,19.0,1
NOVEL LABORATORIES INC D B A LUPIN,1,1,0,0.0,2021-08-25,2021-08-25,27.0,1
NOVEL LABORATORIES INC D B A LUPIN SOMERSET,1,1,0,0.0,2024-08-14,2024-08-14,43.0,1
NOVIS PR LLC DBA KRAMER NOVIS,1,1,1,100.0,2023-06-07,2023-06-07,48.0,1
NUBRATORI INC,1,1,0,0.0,2025-05-07,2025-05-07,22.0,1
OASIS MEDICAL INC,1,1,0,0.0,2026-05-20,2026-05-20,23.0,1
ONE SOURCE NUTRITION INC,1,1,1,100.0,2025-03-26,2025-03-26,34.0,1
ONESOURCE SPECIALTY PHARMA LIMITED,1,1,0,0.0,2026-07-15,2026-07-15,38.0,1
ORGANICS CORPORATION OF AMERICA DBA AMBIX LABORATORIES,1,1,0,0.0,2022-02-23,2022-02-23,79.0,1
OXFORD PHARMACEUTICALS LLC,1,1,0,0.0,2021-06-09,2021-06-09,35.0,1
PAR FORMULATIONS PRIVATE LIMITED,1,1,0,0.0,2022-11-23,2022-11-23,13.0,1
PAR HEALTH USA LLC,1,1,0,0.0,2026-06-24,2026-06-24,12.0,1
