recalling_firm_normalized,recall_count,unique_event_count,class_i_count,class_i_pct,first_report_date,latest_report_date,median_reporting_lag_days,active_year_count
AMMAN PHARMACEUTICAL INDUSTRIES,17,1,0,0.0,2023-09-27,2023-09-27,26.0,1
APOLLO CARE LLC,17,2,0,0.0,2023-05-24,2025-05-14,22.0,2
EUGIA US LLC,17,15,1,5.88,2023-01-11,2026-06-10,23.0,4
FRESENIUS MEDICAL CARE HOLDINGS INC,16,8,0,0.0,2021-06-16,2026-05-13,43.0,6
FARMAKEIO OUTSOURCING LLC,15,1,0,0.0,2025-11-05,2025-11-05,22.0,1
FRESENIUS KABI COMPOUNDING LLC,15,2,0,0.0,2024-10-30,2026-02-18,35.0,2
IBSA PHARMA INC,15,1,0,0.0,2023-03-01,2023-03-01,30.0,1
NOVO NORDISK INC,15,2,10,66.67,2021-04-21,2026-01-07,30.0,2
XIAMEN KANG ZHONGYUAN BIOTECHNOLOGY CO LTD,15,1,0,0.0,2026-04-22,2026-04-22,33.0,1
BAXTER HEALTHCARE CORPORATION,14,12,1,7.14,2022-08-24,2026-02-04,29.5,5
CA BOTANA INTERNATIONAL INC,14,1,0,0.0,2025-12-03,2025-12-03,54.0,1
DABUR INDIA LIMITED,14,1,0,0.0,2026-06-24,2026-06-24,22.0,1
ECOMETICS INC,14,2,0,0.0,2023-03-15,2023-08-30,20.0,1
MED SHOP TOTAL CARE INC,14,1,14,100.0,2021-08-18,2021-08-18,317.0,1
PRORX LLC,14,2,0,0.0,2024-09-11,2025-11-05,20.5,2
SAFECOR HEALTH LLC,14,6,0,0.0,2023-11-08,2026-05-27,23.0,4
THRIVE HEALTH AND WELLNESS LLC DBA THRIVE HEALTH SOLUTIONS COLORADO,14,1,0,0.0,2025-07-02,2025-07-02,42.0,1
AEQUITA PHARMACY,13,1,0,0.0,2025-08-13,2025-08-13,26.0,1
BLOSSOM PHARMACEUTICALS,13,1,0,0.0,2025-12-10,2025-12-10,40.0,1
HOMEOCARE LABORATORIES INC,13,2,1,7.69,2023-07-05,2024-07-24,30.0,2
L PERRIGO COMPANY,13,1,0,0.0,2023-07-19,2023-07-19,160.0,1
RISING PHARMA HOLDING INC,13,9,0,0.0,2024-01-17,2026-07-29,19.0,3
FAMILY PHARMACY OF STATESVILLE,12,1,0,0.0,2022-03-23,2022-03-23,594.0,1
MAJOR PHARMACEUTICALS,12,1,0,0.0,2026-07-29,2026-07-29,16.0,1
STRIDES PHARMA INC,12,9,0,0.0,2021-01-06,2026-03-25,23.0,6
ACELLA PHARMACEUTICALS LLC,11,6,5,45.45,2021-06-02,2026-05-13,23.0,5
AKRON PHARMA INC,11,4,0,0.0,2022-08-24,2025-01-22,41.0,4
AMNEAL PHARMACEUTICALS LLC,11,7,3,27.27,2024-08-14,2026-06-17,23.0,3
AMNEAL PHARMACEUTICALS OF NEW YORK LLC,11,10,1,9.09,2021-11-24,2024-05-08,23.0,4
ARG LABORATORIES INC,11,1,0,0.0,2024-06-05,2024-06-05,49.0,1
BELL PHARMACEUTICALS INC,11,1,0,0.0,2026-07-22,2026-07-22,27.0,1
ENDO USA INC,11,5,5,45.45,2025-01-15,2026-05-20,54.0,2
FDC LIMITED,11,11,0,0.0,2024-05-15,2025-08-06,20.0,2
HIKMA PHARMACEUTICALS USA INC,11,8,1,9.09,2021-09-01,2026-05-06,29.0,6
PYRAMIDS WHOLESALE INC,11,1,11,100.0,2024-05-01,2024-05-01,43.0,1
UNEXO LIFE SCIENCES PRIVATE LIMITED,11,1,0,0.0,2024-12-04,2024-12-04,41.0,1
CIPLA,10,7,0,0.0,2021-01-06,2022-10-12,20.0,2
DUPONT NUTRITION USA INC,10,4,1,10.0,2021-08-25,2023-05-03,26.5,2
EXELA PHARMA SCIENCES LLC,10,6,7,70.0,2022-01-19,2025-09-17,29.0,3
FAGRON COMPOUNDING SERVICES,10,6,0,0.0,2023-12-06,2026-04-15,26.0,4
FAGRON INC,10,3,1,10.0,2022-05-18,2023-12-27,75.0,2
